date,death,avg_death,temp,dptp,rhum,pm10,o3
1988-01-01,108,122,-15.8333333333333,-3.625,68.625,NA,19.497683336
1988-01-02,124,124,-9.44444444444444,15.375,67.75,NA,7.243837471
1988-01-03,138,126.75,-4.16666666666667,16.75,75.375,17.157649442,8.232056058
1988-01-04,132,120.75,-15,-15.875,60.625,21.599155357,17.892903539
1988-01-05,112,124.25,-21.3888888888889,-15.75,60.625,16.10212996,12.689791474
1988-01-06,131,119,-20.8333333333333,-15.125,63.625,66.87741681,6.630475216
1988-01-07,140,118.4,-16.1111111111111,-1.875,70.625,65.665910142,1.468596151
1988-01-08,123,122,-13.0555555555556,2.75,75.125,78.622210749,3.526871296
1988-01-09,126,124,-17.5,-12.25,64.5,39.4623401979,6.935567803
1988-01-10,121,126.75,-16.9444444444444,-1.625,65.5,34.508743876,5.773470923
1988-01-11,148,120.75,-4.44444444444444,22.25,72.25,30.586185972,5.568200933
1988-01-12,146,124.25,-1.94444444444444,15.5,70.5,34.644789868,16.160160278
1988-01-13,119,119,-11.1111111111111,-0.375,65.875,42.6337722405,13.242025028
1988-01-14,127,118.4,-11.6666666666667,9.375,62.875,37.5572235841,2.098566964
1988-01-15,118,122,-2.22222222222222,22.75,62.5,19.404355614,3.110331873
1988-01-16,137,124,3.88888888888889,29.25,57.5,28.526308537,13.374695308
1988-01-17,138,126.75,2.77777777777778,32.25,96,17.450621849,5.830152929
1988-01-18,117,120.75,0.833333333333333,32.375,94.625,NA,7.882312995
1988-01-19,125,124.25,1.94444444444444,34.625,94.125,30.542132948,12.194503769
1988-01-20,126,119,1.11111111111111,27.375,81,13.430511957,5.873966365
1988-01-21,100,118.4,-1.94444444444444,21.125,74.625,11.833295491,15.393886462
1988-01-22,126,122,-2.77777777777778,23.625,87.75,23.558728614,5.915368747
1988-01-23,131,124,-6.11111111111111,25.75,96.625,15.29437041,7.24141747
1988-01-24,115,126.75,-4.16666666666667,17,81.25,18.291275947,8.580410628
1988-01-25,142,120.75,-9.72222222222222,-2.75,79.5,26.300495173,7.495617543
1988-01-26,122,124.25,-12.7777777777778,-0.5,69.25,37.3128969979,6.343649827
1988-01-27,124,119,-13.8888888888889,11.25,76,43.2602911351,6.486257038
1988-01-28,112,118.4,-5.83333333333333,19.25,72.75,41.3616843552,10.10560939
1988-01-29,126,122,1.94444444444444,40.5,77.375,29.133418171,10.041203865
1988-01-30,127,124,10.2777777777778,47.5,78.875,15.158173872,23.315362307
1988-01-31,118,126.75,7.77777777777778,31.875,79.75,34.111333336,19.545684912
1988-02-01,119,125,-2.22222222222222,21.375,88.75,5.189042126,21.177739289
1988-02-02,111,116.25,-5.27777777777778,17.75,71.625,15.148682649,25.821598977
1988-02-03,120,124.25,-4.44444444444444,20.125,85.125,31.45743122,14.823810555
1988-02-04,135,119.25,-8.61111111111111,6.625,75,43.8537480113,14.404181852
1988-02-05,119,113.75,-15.5555555555556,-10.75,57.5,28.810283959,18.044983239
1988-02-06,110,121.25,-16.1111111111111,-3.125,67.75,30.814218429,19.250599104
1988-02-07,123,125.25,-8.61111111111111,8.375,63.5,23.875580141,17.40468347
1988-02-08,108,125,-9.72222222222222,16.25,84,34.757219482,11.497076779
1988-02-09,135,116.25,-8.05555555555556,7.125,68.625,33.468404125,12.289735477
1988-02-10,124,124.25,-8.88888888888889,17.625,98,27.635744073,21.532903692
1988-02-11,131,119.25,-8.88888888888889,9,76,19.749350629,28.4392644988
1988-02-12,139,113.75,-12.7777777777778,0.25,72.25,35.6597478673,17.74230235
1988-02-13,113,121.25,-13.8888888888889,3.5,69.5,33.799834369,11.227957964
1988-02-14,126,125.25,-2.5,38.625,95.5,NA,8.655187442
1988-02-15,138,125,-3.33333333333333,11.875,60.375,24.310848971,18.319073657
1988-02-16,119,116.25,-3.05555555555556,27.125,79.375,25.71333857,6.382916552
1988-02-17,122,124.25,-0.555555555555556,23.125,78.5,51.638887627,10.319707506
1988-02-18,124,119.25,-0.277777777777778,27,78.125,53.589393193,8.369274089
1988-02-19,128,113.75,0,29.375,80.125,68.587198106,9.247027567
1988-02-20,147,121.25,-5.83333333333333,-2.625,50.875,28.624821869,23.498442952
1988-02-21,125,125.25,-8.61111111111111,20.125,70.625,21.055124006,17.335252724
1988-02-22,156,125,4.44444444444444,29,68.125,14.54077055,17.66834644
1988-02-23,123,116.25,-2.77777777777778,13,60.75,35.528187769,23.683578194
1988-02-24,119,124.25,-5.55555555555556,7.875,52.875,56.730684018,18.574898782
1988-02-25,131,119.25,-6.38888888888889,9.75,53.5,NA,13.828139543
1988-02-26,117,113.75,4.16666666666667,29.625,53.375,45.2244415622,13.597494535
1988-02-27,145,121.25,0,22.75,76,19.665343731,33.7792488254
1988-02-28,126,125.25,1.38888888888889,31.625,71.875,45.0451369264,16.613470841
1988-02-29,112,125,4.16666666666667,26.375,64.125,20.064011102,16.592323517
1988-03-01,111,120.4,5,29.375,44.875,21.122313245,22.250753467
1988-03-02,117,119.75,1.94444444444444,24.375,76.5,24.173823161,24.581390214
1988-03-03,118,119.5,-2.77777777777778,17,66,8.075982633,33.7025696184
1988-03-04,116,116.25,-1.94444444444444,16.25,62.5,21.454663004,30.7557646661
1988-03-05,144,117,-0.555555555555556,19.25,54.125,30.967231451,10.302781166
1988-03-06,132,109.2,2.22222222222222,32.5,66.25,NA,17.968668997
1988-03-07,142,123.6,5.55555555555556,40,66.75,48.932521053,11.137083483
1988-03-08,154,120.4,9.16666666666667,42.75,83.125,NA,12.826328806
1988-03-09,142,119.75,1.11111111111111,27.625,71.125,NA,18.756860881
1988-03-10,110,119.5,3.33333333333333,21.375,50,37.3116146286,21.50407978
1988-03-11,126,116.25,8.05555555555556,35.125,46.25,26.91821157,11.656264184
1988-03-12,137,117,6.11111111111111,28.25,80.125,13.817902763,22.317185535
1988-03-13,130,109.2,-3.05555555555556,17.625,75.875,NA,23.748973304
1988-03-14,132,123.6,-4.44444444444444,17.5,77.25,17.852159098,25.1365315507
1988-03-15,112,120.4,-4.72222222222222,19.5,68.125,27.810922017,21.500539638
1988-03-16,130,119.75,0.277777777777778,23.5,63.375,24.462758086,20.627123506
1988-03-17,138,119.5,1.11111111111111,26,67.625,NA,10.712388758
1988-03-18,130,116.25,1.38888888888889,17.375,45.625,37.6783102551,17.252787341
1988-03-19,109,117,0,29.5,73.75,20.691558659,21.935177358
1988-03-20,117,109.2,-1.94444444444444,15,57.625,-1.27805356,33.4280949058
1988-03-21,145,123.6,-1.11111111111111,15.75,54.5,14.779143043,36.732399496
1988-03-22,124,120.4,8.05555555555556,35,37.75,54.305178421,20.136105446
1988-03-23,136,119.75,13.3333333333333,36.25,53.25,74.76391868,31.5999169354
1988-03-24,113,119.5,13.6111111111111,54.75,65,42.7433290802,23.258003452
1988-03-25,132,116.25,11.6666666666667,35.5,54.25,15.735274557,20.770424559
1988-03-26,140,117,3.88888888888889,18.5,53.875,49.806866886,19.513744479
1988-03-27,139,109.2,4.44444444444444,28.25,57.75,45.798212556,21.405547231
1988-03-28,121,123.6,9.16666666666667,42.625,63.875,27.621965913,9.381742532
1988-03-29,139,120.4,7.5,35.75,90.875,19.849034853,12.490861042
1988-03-30,122,119.75,4.72222222222222,27.25,55.375,23.815515623,17.54030723
1988-03-31,113,119.5,5.55555555555556,32,60.25,33.818350795,17.034938125
1988-04-01,121,113.25,5.55555555555556,34.25,73.5,20.835121934,34.0195280819
1988-04-02,125,117.5,12.2222222222222,56.625,89.25,30.960534477,8.7941855
1988-04-03,120,111,11.9444444444444,44.125,81.75,16.373467629,21.711818284
1988-04-04,130,109.25,14.1666666666667,51.625,61.25,NA,26.6778848293
1988-04-05,144,122.25,20.8333333333333,57.5,61,33.118701701,29.8562031396
1988-04-06,111,118.2,10,28.75,50.375,9.318023387,30.1224535009
1988-04-07,133,106.8,10,25.25,39,23.262174988,22.410159555
1988-04-08,125,113.25,10.8333333333333,28.75,40.875,23.251244202,17.564196805
1988-04-09,126,117.5,11.3888888888889,37.75,49.625,47.105273548,18.90000892
1988-04-10,121,111,6.11111111111111,33.75,73.5,26.141745314,16.591615594
1988-04-11,118,109.25,7.77777777777778,22.875,38.625,22.11950451,27.957031465
1988-04-12,116,122.25,8.61111111111111,23.25,40.875,29.076901658,27.2266296507
1988-04-13,87,118.2,11.6666666666667,38.5,46.875,NA,26.7135379373
1988-04-14,122,106.8,6.11111111111111,28.875,61.875,16.015229253,25.2400928103
1988-04-15,116,113.25,5.27777777777778,25.5,55.125,19.580448562,23.315329112
1988-04-16,123,117.5,8.61111111111111,27.5,36.5,34.015229258,20.618033042
1988-04-17,118,111,15,37.875,53.375,66.938975077,37.509524378
1988-04-18,109,109.25,5.83333333333333,17.875,41.125,31.914302871,28.6348787008
1988-04-19,117,122.25,4.72222222222222,14.75,29.5,42.8221159865,20.057600783
1988-04-20,110,118.2,7.5,35.25,68.75,42.8093643087,20.043838307
1988-04-21,150,106.8,2.77777777777778,28.75,55.75,30.575389069,17.791118688
1988-04-22,122,113.25,7.5,30.375,48.875,41.7966126309,25.2442753699
1988-04-23,117,117.5,6.66666666666667,34.375,73,34.853995181,19.77872785
1988-04-24,94,111,7.22222222222222,30.125,52.875,24.907519235,23.754456565
1988-04-25,116,109.25,12.2222222222222,36.375,39.125,34.907026832,21.48888346
1988-04-26,121,122.25,9.16666666666667,35.875,80.625,9.90384957,22.270517052
1988-04-27,122,118.2,4.16666666666667,34.625,83.625,11.397352802,23.376890372
1988-04-28,109,106.8,9.16666666666667,28.375,52.625,23.850614515,24.946965459
1988-04-29,123,113.25,9.44444444444444,25.375,38.125,38.8793057932,21.111433075
1988-04-30,100,117.5,12.2222222222222,26.5,34.875,23.952037508,21.84646015
1988-05-01,110,111.2,11.6666666666667,29.625,39.25,23.956976434,31.158423672
1988-05-02,125,122,13.8888888888889,27.75,29.5,40.9378489157,34.026928273
1988-05-03,127,116,13.6111111111111,39.125,55.125,39.8577946244,34.0987413709
1988-05-04,113,115.5,11.3888888888889,31.875,40.875,39.0254260746,32.9858364294
1988-05-05,115,119.5,12.5,34.875,40.5,42.3879201024,27.0621749423
